,incident_id,date,state,city_or_county,address,latitude,longitude,zip,congressional_district,n_killed,n_injured,killed_and_injured,n_guns_involved,handgun,shotgun,assault_rifle,stolen,not_stolen,male,female,participant_count,participant_avg_age,Gun Freedom Score,Mean income (dollars),democrat,PVI #,extreme_left,extreme_right
120,490351,7/4/2013,Michigan,Pontiac,441 N Perry St,42.6482,-83.2871,48340,14.0,1,6,7,,0,0,0,0,0,1,1,8,22.9,6.3,42029,1,30,0,0
121,490750,7/6/2013,New York,Brooklyn,472 Marcy Avenue,40.6987,-73.95,10128,7.0,1,3,4,,0,0,0,0,0,1,0,5,16.2,4.6,175055,1,38,1,0
122,490395,7/6/2013,Alabama,Florence,West Mobile Street,34.7982,-87.6854,60202,5.0,0,4,4,,0,0,0,0,0,0,1,1,22.0,7.4,100384,0,18,0,0
123,490772,7/7/2013,Illinois,Chicago,11300 block of South Forest Avenue,41.68899999999999,-87.6157,60628,2.0,0,5,5,1.0,1,0,0,0,0,1,1,6,30.8,4.2,51239,1,29,0,0
124,490767,7/7/2013,Mississippi,Meridian,2500 block of 5th Street,32.3625,-88.7022,38226,3.0,0,4,4,3.0,1,0,0,0,0,0,0,1,0.0,7.4,53081,0,13,0,0
125,490893,7/7/2013,California,Stockton,2600 block of Connecticut Avenue,37.9218,-121.29799999999999,95210,9.0,1,4,5,,0,0,0,0,0,1,1,5,23.6,3.85,52906,1,8,0,0
126,490793,7/7/2013,Florida,Pompano Beach,1600 block of Northwest 7th Lane,26.2489,-80.1352,33160,20.0,1,3,4,,0,0,0,0,0,1,0,4,33.8,6.45,88567,1,31,0,0
127,490909,7/9/2013,Maryland,Baltimore,600 block of N. Carrollton Ave,39.2956,-76.6374,17033,7.0,0,4,4,,0,0,0,0,0,1,0,1,29.0,5.1,92504,1,26,0,0
128,490917,7/9/2013,Illinois,Rockford,600 block of Woodlawn Avenue,42.2783,-89.0953,39346,17.0,2,2,4,,0,0,0,0,0,1,0,3,29.3,4.2,53957,1,3,0,0
129,490922,7/11/2013,North Carolina,Charlotte,6300 block of Reagan Drive,35.2837,-80.7742,26456,12.0,2,2,4,,0,0,0,0,0,1,0,3,22.0,6.9,59270,1,18,0,0
130,490943,7/12/2013,California,San Francisco,3192 16th St,37.7649,-122.42299999999999,94109,12.0,1,3,4,1.0,1,0,0,0,0,1,0,4,23.0,3.85,125022,1,37,1,0
131,490954,7/12/2013,Kentucky,Greensburg,194 C Mays Rd,37.1948,-85.5219,49032,2.0,2,2,4,1.0,0,0,1,0,0,1,1,3,35.0,7.4,60276,0,19,0,0
132,491162,7/13/2013,Ohio,Campbell,Seventh Street,41.0738,-80.5997,29907,13.0,0,4,4,,0,0,0,0,0,1,1,5,38.2,7.4,73435,1,7,0,0
133,490979,7/13/2013,District of Columbia,Washington,2700 block of Stanton Road,38.8583,-76.9883,20905,1.0,0,4,4,,0,0,0,0,0,0,0,1,0.0,2.0,127163,1,43,1,0
