zip,Mean income (dollars)
03464,79841
03465,66721
03466,83679
03467,96677
03470,58243
03561,60397
03570,59530
03574,66595
03575,N
03576,54579
03579,52369
03580,89315
03581,71082
03582,47713
03583,56070
03584,60842
03585,63805
03586,96703
03588,62218
03590,58492
03592,49939
03593,73354
03595,72101
03597,49656
03598,50620
03601,68188
03602,74242
03603,64845
03604,86896
03605,75731
03607,83217
03608,92618
03609,62581
03740,69526
03741,76191
03743,56963
03745,86757
03746,128292
03748,98455
03750,178477
03751,51228
03752,61027
03753,98377
03754,N
03755,132878
03765,52325
03766,75401
03768,148224
03770,98369
03771,76045
03773,68444
03774,71008
03777,100113
03779,68603
03780,84416
03781,96684
03782,76397
03784,70848
03785,58404
03801,92350
03809,79591
03810,76754
03811,117245
03812,38784
03813,72814
03814,72492
03816,64435
03817,71625
03818,61617
03819,91277
03820,78121
03823,117127
03824,93132
03825,93409
03826,91504
03827,119922
03830,64004
03832,88741
03833,109130
03835,67419
03836,68661
03837,59653
03838,68894
03839,67264
03840,137624
03841,109097
03842,97928
03844,148897
03845,63539
03846,81751
03847,N
03848,115807
03849,54272
03850,59539
03851,69211
03852,78905
03853,43146
03854,146360
03855,90128
03856,134253
03857,78220
03858,108925
03860,57350
03861,101742
03862,143747
03864,58115
03865,93037
03867,68087
03868,78046
03869,92530
03870,151019
03871,N
03872,69908
03873,104120
03874,68620
03875,94025
03878,67291
03882,59509
03883,36764
03884,99648
03885,140239
03886,72300
03887,87115
03890,39513
03894,78641
03901,76810
03902,84609
03903,86096
03904,76125
03905,87388
03906,78911
03907,98709
03908,87261
03909,106934
03910,51404
03911,N
04001,64550
04002,68153
04003,66984
04005,59970
04006,48900
04008,68904
04009,59062
04010,64823
04011,72219
04015,66705
04017,54624
04019,-
04020,71321
04021,131504
04022,62654
04024,64048
04027,64678
04029,66837
04030,66123
04032,100829
04037,51889
04038,89914
04039,73429
04040,54850
04041,56634
04042,67426
04043,101478
04046,82693
04047,59348
04048,60637
04049,67626
04050,68137
04051,62840
04055,66767
04056,51635
04057,-
04061,73143
04062,80549
04063,52785
04064,72646
04066,62209
04068,50508
04069,82964
04071,80642
04072,74156
04073,56136
04074,98920
04076,58505
04079,96777
04083,61755
04084,74456
04085,85676
04086,82523
04087,55779
04088,64223
04090,67992
04091,64784
04092,64707
04093,81514
04095,55588
04096,114577
04097,119193
04101,51738
04102,71603
04103,78141
04105,154408
04106,73751
04107,125032
04108,75736
04109,64817
04110,228096
04210,69640
04216,39917
04217,68794
04219,61696
04220,55158
04221,60513
04222,80506
04224,49302
04226,71293
04227,N
04228,N
04231,57168
04234,25606
04236,71933
04237,46600
04238,64152
04239,72869
04240,53847
04250,57540
04252,67991
04253,64793
04254,43365
04255,69737
04256,67472
04257,51228
04258,82252
04259,73057
04260,71722
04261,58423
04263,57461
04265,57286
04267,N
04268,48696
04270,56029
04271,-
04274,62494
04275,60816
04276,45726
04280,64943
04281,49469
04282,76092
04284,68699
04285,56369
04286,76568
04287,63974
04289,50449
04290,55823
04292,53114
04294,61758
04330,57777
04342,68629
04343,N
04344,46462
04345,65343
04346,56070
04347,62982
04348,56055
04349,68268
04350,79652
04351,98478
04352,61956
04353,54876
04354,71082
04355,78027
04357,54928
04358,58420
04359,63307
04360,72286
04363,57891
04364,75333
04401,64273
04406,55300
04408,56691
04410,46157
04411,62851
04412,73531
04413,37819
04414,41546
04415,39711
04416,60430
04417,47820
04418,61404
04419,63035
04421,66613
04422,56401
04424,31124
04426,57719
04427,58840
04428,55551
04429,75022
04430,49240
04431,N
04434,52147
04435,65888
04438,46211
04441,43485
04442,-
04443,47786
04444,90663
04448,54470
04449,63567
04450,52363
04451,36784
04453,49034
04454,N
04455,85173
04456,58252
04457,55791
04459,46427
04460,50998
04461,62883
04462,52898
04463,44750
04464,47690
04468,52212
04469,-
04471,50757
04472,56613
04473,63147
04474,68088
04475,47326
04476,56227
04478,51368
04479,49645
04481,70489
04485,66241
04487,46200
04488,68620
04489,52323
04490,49639
04491,50946
04492,42986
04493,54633
04495,48407
04496,69164
04497,45802
04530,61796
04535,65422
04537,67465
04538,50032
04539,45272
04541,98412
04543,57802
04544,58439
04547,60857
04548,66728
04551,52665
04553,66212
04554,51629
04555,57507
04556,60847
04558,69727
04562,95137
04563,54122
04564,74224
04568,67143
04570,-
04571,38640
04572,57365
04573,71509
04574,52230
04575,119730
04576,62988
04578,69414
04579,66920
04605,61428
04606,61182
04607,69359
04609,57605
04611,54004
04612,70125
04613,53006
04614,84250
04616,53857
04617,80352
04619,49878
04622,50886
04623,60775
04624,29210
04625,39117
04626,68061
04627,63945
04628,53698
04629,N
04630,50163
04631,40001
04634,41430
04635,70682
04637,35936
04640,53216
04642,87426
04643,46079
04644,-
04645,42680
04646,99124
04648,43529
04649,51823
04650,32237
04652,44835
04653,44392
04654,48316
04655,62399
04657,52125
04658,44443
04660,81109
04662,75410
04664,49621
04666,49397
04667,48008
04668,42710
04669,98863
04671,66505
04673,37707
04674,83903
04675,127104
04676,55671
04677,57973
04679,75149
04680,40239
04681,47297
04683,35129
04684,63639
04685,64638
04686,74227
04691,56409
04693,65030
04694,55314
04730,54865
04732,49499
04733,58689
04734,49930
04735,49665
04736,57432
04739,56928
04740,53484
04741,-
04742,75294
04743,53931
04745,53329
04746,45533
04747,50435
04750,44430
04756,53180
04757,61110
04758,61540
04760,49055
04761,55391
04762,52118
04763,42923
04764,18293
04765,47281
04766,52258
04768,49058
04769,50301
04772,55582
04773,49052
04774,44846
04776,46097
04777,40297
04779,44712
04780,58188
04781,57683
04783,57071
04785,53031
04786,55478
04787,38635
04841,49995
04843,64391
04847,59671
04848,78061
04849,62916
04851,41415
04852,40989
04853,61251
04854,62690
04855,95525
04856,73734
04858,62725
04859,62793
04860,57587
04861,48766
04862,61760
04863,63143
04864,65279
04901,55677
04910,58201
04911,46526
04912,43179
04915,52911
04917,74583
04918,59316
04920,47539
04921,43328
04922,51552
04923,39076
04924,57655
04925,40440
04926,N
04927,51779
04928,55746
04929,57753
04930,46651
04932,56367
04933,N
04936,54938
04937,57265
04938,52623
04939,51614
04940,-
04941,50337
04942,43207
04943,44571
04944,N
04945,56663
04947,56724
04949,48354
04950,58240
04951,51193
04952,54156
04953,66665
04955,53030
04956,65157
04957,55450
04958,53073
04961,56501
04962,45569
04963,71963
04964,51859
04965,53555
04966,45391
04967,56540
04969,60846
04970,53960
04971,60245
04973,52454
04974,49491
04975,N
04976,53360
04978,64991
04979,56548
04981,52468
04982,42736
04983,49758
04984,58184
04985,43316
04986,49418
04987,45741
04988,52607
04989,64744
04992,31072
05001,73947
05031,36818
05032,58287
05033,57628
05034,86756
05035,59955
05036,64866
05037,66049
05038,59958
05039,62604
05040,58684
05041,47311
05042,74323
05043,69944
05045,75305
05046,50773
05048,70109
05050,62642
05051,62646
05052,50621
05053,87154
05055,119609
05056,59637
05058,74237
05059,85955
05060,60294
05061,66912
05062,59108
05065,70689
05067,94862
05068,56211
05069,63721
05070,79729
05071,120629
05072,73283
05075,93245
05076,57769
05077,68440
05079,61352
05081,45311
05083,42988
05084,49232
05086,56615
05089,62513
05091,89505
05101,49384
05141,42273
05142,81513
05143,67138
05146,59190
05148,73750
05149,53708
05150,47993
05151,72918
05152,68158
05153,66620
05154,50144
05155,68354
05156,67541
05158,64483
05161,95265
05201,57179
05250,69311
05251,80387
05252,66613
05253,99243
05254,76955
05255,84615
05257,64602
05260,79144
05261,59714
05262,83148
05301,63292
05340,76401
05341,57286
05342,64264
05343,69122
05345,63439
05346,66605
05350,56119
05352,78432
05353,66168
05354,81645
05355,56082
05356,57271
05358,68401
05359,55968
05360,90173
05361,64215
05362,117345
05363,48383
05401,61275
05403,86679
05404,64025
05405,-
05408,69232
05439,N
05440,70782
05441,79471
05442,62231
05443,69885
05444,77672
05445,160071
05446,77680
05447,41686
05448,75264
05450,66809
05452,85421
05454,87527
05455,92558
05456,82954
05457,72882
05458,75659
05459,60573
05461,88286
05462,82364
05463,57379
05464,72012
05465,101132
05468,79860
05471,64903
05472,78611
05473,104276
05474,89137
05476,52912
05477,90977
05478,76760
05481,-
05482,136429
